fecha,codigo_agente,nombre_agente,segmento,estrategia,cluster,demanda_gwh_dia,pct_no_regulado,pct_cobertura_contratos,pct_exposicion_bolsa,pct_sicep,compra_regulado_1_0,margen_est_cop_kwh,costo_energia_est_cop_kwh
2026-01-02,EGVC,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.2514,0.0,109.73,0.0,95.73,1.0,-80.17,309.4
2026-01-02,EMEC,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0725,72.44,86.74,14.67,0.0,1.0,-51.87,313.2
2026-01-02,EMIC,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,MEDIANO,Integrado/regional regulado,1,8.2149,21.11,94.7,6.4,61.52,1.0,-48.55,311.1
2026-01-02,EMPC,EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DE CARTAGENA DEL CHAIRA,PEQUEÑO,Comercializador regulado,2,0.0452,0.0,68.11,31.89,93.61,1.0,-50.92,317.7
2026-01-02,EMSC,ELECTRIFICADORA DEL META S.A. E.S.P.,MEDIANO,Comercializador regulado,2,3.6703,9.72,82.84,18.66,83.43,1.0,-53.29,314.2
2026-01-02,ENBC,ENERBIT S.A.S. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.3307,7.76,95.75,10.53,100.0,1.0,-69.58,312.0
2026-01-02,ENDC,ENEL COLOMBIA SA ESP,GRANDE,Integrado/regional regulado,1,33.9363,24.74,105.62,2.41,89.22,1.0,-74.25,310.0
2026-01-02,ENIC,EMPRESA DE ENERGÍA DE ARAUCA E.S.P.,MEDIANO,Comercializador regulado,2,0.91,0.0,59.11,40.89,13.38,1.0,-53.25,320.0
2026-01-02,EPMC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,GRANDE,Integrado/regional regulado,1,30.6129,32.86,88.69,11.31,96.48,1.0,-45.58,312.4
2026-01-02,EPSC,CELSIA COLOMBIA S.A. E.S.P.,GRANDE,Integrado/regional regulado,1,10.872,31.41,101.48,0.0,85.69,1.0,-48.36,309.4
2026-01-02,EPTC,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.2251,0.0,422.88,0.0,95.09,1.0,-500,309.4
2026-01-02,ESOC,EMPRESA DE SERVICIOS PÚBLICOS DEL OCCIDENTE COLOMBIANO,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0152,0.0,0.0,100.0,0.0,0.0,-68.57,335.3
2026-01-02,ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,MEDIANO,Integrado/regional regulado,1,6.3782,0.0,76.42,23.58,95.26,1.0,-48.76,315.5
2026-01-02,ESVC,EMPRESA SIGLO XXI EICE ESP,PEQUEÑO,Comercializador regulado,2,0.013,0.0,89.0,11.0,100.0,1.0,-45.5,312.3
2026-01-02,ETTC,ENERTOTAL S.A. E.S.P.,MEDIANO,Trader con sobrecobertura de contratos,4,1.237,43.4,100.0,0.0,0.0,1.0,-42.65,309.4
2026-01-02,EVSC,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.0414,0.0,94.49,7.38,93.63,1.0,-51.75,311.3
2026-01-02,EXEC,ENEL X COLOMBIA S.A.S ESP,MEDIANO,Comercializador regulado,2,0.4296,0.0,133.96,4.89,100.0,1.0,-193.69,310.3
2026-01-02,EXIC,ENERXIA COLOMBIA SAS ESP,PEQUEÑO,Trader no regulado,0,0.2631,100.0,179.47,9.63,0.0,0.0,-388.67,310.7
2026-01-02,FERC,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.1917,100.0,762.94,0.0,0.0,0.0,-500,309.4
2026-01-02,FREC,FRANCA ENERGIA SA ESP,PEQUEÑO,Trader no regulado,0,0.2177,100.0,103.68,8.95,0.0,0.0,-93.66,311.5
2026-01-02,GAPC,GAP ENERGY GROUP SAS ESP,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.1035,100.0,169.35,0.0,0.0,0.0,-310.0,309.4
2026-01-02,GECC,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,GRANDE,Trader no regulado,0,13.155,100.0,67.23,32.77,0.0,0.0,-51.15,317.9
2026-01-02,GNCC,VATIA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,4.2128,8.07,141.88,5.83,98.63,1.0,-228.1,310.4
2026-01-02,GNYC,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,PEQUEÑO,Trader no regulado,0,0.0672,100.0,476.52,37.8,0.0,0.0,-500,311.3
2026-01-02,GSAC,GENERSA S.A.S. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0006,100.0,0.0,100.0,0.0,0.0,-68.57,335.3
2026-01-02,HIMC,GESTION ENERGETICA S.A. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0241,0.0,6.47,93.53,0.0,1.0,-66.9,333.7
2026-01-02,HLAC,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,MEDIANO,Comercializador regulado,2,2.2523,17.29,113.21,0.06,90.85,1.0,-93.79,309.4
2026-01-02,ISGC,ISAGEN S.A. E.S.P.,GRANDE,Trader con sobrecobertura de contratos,4,8.8592,100.0,162.09,0.0,0.0,0.0,-282.02,309.4
2026-01-02,ITLC,ITALCOL ENERGIA S.A. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.4318,100.0,128.18,12.3,100.0,1.0,-201.9,311.7
2026-01-02,LESC,MESSER ENERGY SERVICES SAS ESP,PEQUEÑO,Trader no regulado,0,0.0735,100.0,347.39,25.01,0.0,0.0,-500,311.2
2026-01-02,NEUC,NEU ENERGY S.A.S E.S.P,MEDIANO,Comercializador regulado,2,1.7335,51.15,166.27,7.68,100.0,1.0,-329.73,310.6
2026-01-02,PEEC,PROFESIONALES EN ENERGIA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0008,100.0,66114.5,0.0,0.0,1.0,-500,309.4
2026-01-02,QIEC,QI ENERGY S.A.S. E.S.P.,MEDIANO,Comercializador regulado,2,0.7898,10.61,219.67,0.0,70.27,1.0,-500,309.4
2026-01-02,RPEC,RIOPAILA ENERGÍA S.A.S. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.1305,100.0,0.0,100.0,0.0,0.0,-68.57,335.3
2026-01-02,RTQC,RUITOQUE S.A. E.S.P.,MEDIANO,Comercializador regulado,2,0.7815,63.09,389.02,0.0,99.82,1.0,-500,309.4
2026-01-02,SCEC,SOL & CIELO ENERGIA S.A.S. E.S.P,PEQUEÑO,Trader no regulado,0,0.033,24.37,246.52,31.12,0.0,0.0,-500,312.3
2026-01-02,SOEC,SOUTH32 ENERGY S.A.S E.S.P,MEDIANO,Trader con sobrecobertura de contratos,4,3.9933,100.0,102.68,0.0,0.0,0.0,-52.98,309.4
2026-01-02,TENC,TRANSACCIONES ENERGÉTICAS S.A.S. EMPRESA DE SERVICIOS PÚBLICOS E.S.P,MEDIANO,Comercializador regulado,2,1.0365,80.35,91.88,8.12,100.0,1.0,-44.75,311.5
2026-01-02,TPLC,TERPEL ENERGÍA S.A.S. E.S.P.,PEQUEÑO,Comercializador regulado,2,0.1989,84.23,297.71,16.51,71.53,1.0,-500,310.8
2026-01-02,TRPC,TERMOPIEDRAS S.A. E.S.P.,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0017,100.0,0.0,100.0,0.0,0.0,-68.57,335.3
2026-01-02,VESC,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,PEQUEÑO,Trader no regulado,0,0.0336,100.0,218.65,6.75,0.0,0.0,-500,310.2
2026-01-02,VICC,EMPRESA DE ENERGÍA ELÉCTRICA DEL DEPARTAMENTO DEL VICHADA,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,0.0085,0.0,0.0,100.0,0.0,0.0,-68.57,335.3
2026-01-03,ASCC,A.S.C. INGENIERIA S.A. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0878,38.49,100.0,0.0,0.0,1.0,-42.74,309.5
2026-01-03,BEIC,BEAM ENERGY INNOVATION S.A.S. E.S.P.,PEQUEÑO,Trader con sobrecobertura de contratos,4,0.0329,77.77,305.41,0.0,0.0,0.0,-500,309.5
2026-01-03,BIAC,BIA ENERGY S.A.S. E.S.P,MEDIANO,Comercializador regulado,2,1.1774,47.0,143.93,0.0,100.0,1.0,-212.15,309.5
