estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,estrategia,n_maestros,n_efectivo,codigos,mediana_relativa_top_cop_kwh,mediana_margen_absoluto_cop_kwh,p_valor_bootstrap,ratio_replicacion,dsr,pct_dias_gana_segmento,kill_switch_1_0,drawdown_max_cop_kwh,ev_historico_cop_kwh,ev_anio_nino_cop_kwh,supera_capacidad_1_0,capacidad_pct_segmento,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2015-10-28,2016-01-25,2016-01-26,2016-02-01,MEDIANO,Trader no regulado,5,2,"ENDC,GECC,ISGC,PRIC,CHVC",61.79,73.46,0.1841,1.015,0.946,100.0,0,0.0,73.11,72.64,0,2.9,0.0,0,0
2015-11-27,2016-02-24,2016-02-25,2016-03-02,PEQUEÑO,Comercializador regulado,10,6,"ASCC,EBPC,EMEC,ETTC,EVSC,CETC,EGVC,CTIC,EDPC,ENIC",61.14,71.44,0.005,0.988,1.0,100.0,0,0.0,71.31,71.13,0,2.0,0.05,1,1
2015-11-27,2016-02-24,2016-02-25,2016-03-02,MEDIANO,Comercializador regulado,10,7,"EPSC,EEPC,EECC,CHCC,EMSC,EBSC,CNSC,ESSC,HLAC,EDQC",10.14,24.59,0.005,5.3,0.241,100.0,0,27.86,26.85,29.9,0,3.0,4.5,0,0
2015-11-27,2016-02-24,2016-02-25,2016-03-02,PEQUEÑO,Trader no regulado,10,7,"GECC,TRMC,RQEC,ITLC,CCOC,GSAC,CMXC,TPLC,EFEC,PEEC",-12.87,31.87,0.005,3.491,0.573,100.0,0,0.0,28.42,23.76,0,2.0,5.82,0,0
2015-11-27,2016-02-24,2016-02-25,2016-03-02,MEDIANO,Trader no regulado,4,2,"ENDC,ISGC,PRIC,CHVC",71.45,71.44,0.0796,0.988,1.0,100.0,0,0.0,71.31,71.13,0,3.0,0.0,0,0
2015-11-27,2016-02-24,2016-02-25,2016-03-02,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,2,"CTIC,EMPC,DLRC,HIMC",-299.21,-245.89,0.403,0.762,0.0,0.0,1,2065.13,-223.94,-194.32,0,2.0,0.0,0,0
2015-11-27,2016-02-24,2016-02-25,2016-03-02,GRANDE,Comercializador regulado,3,3,"CDSC,EDCC,EPMC",0.0,27.45,1.0,1.123,0.68,100.0,0,18.75,30.12,33.73,1,32.1,1.59,0,0
2015-12-27,2016-03-25,2016-03-26,2016-04-01,PEQUEÑO,Comercializador regulado,10,6,"ASCC,CETC,EBPC,EMEC,EVSC,ETTC,EGVC,EDPC,ENIC,EPTC",134.93,71.45,0.005,0.989,0.996,100.0,0,0.0,71.59,71.78,0,2.0,0.0,1,1
2015-12-27,2016-03-25,2016-03-26,2016-04-01,MEDIANO,Comercializador regulado,10,7,"EPSC,EEPC,EECC,EMSC,EBSC,CHCC,ESSC,CNSC,HLAC,CTSC",3.9,-35.85,0.005,8.204,0.0,85.7,0,260.5,-26.72,-14.39,0,3.0,1.46,0,0
2015-12-27,2016-03-25,2016-03-26,2016-04-01,GRANDE,Comercializador regulado,3,1,"EDCC,CDSC,EPMC",0.0,-16.39,0.005,-1.127,0.0,0.0,0,123.63,-8.86,1.3,1,32.5,1.41,0,0
2015-12-27,2016-03-25,2016-03-26,2016-04-01,PEQUEÑO,Trader no regulado,10,7,"GECC,RQEC,TRMC,ITLC,CCOC,CMXC,GSAC,CHVC,TPLC,RPEC",-18.48,-92.21,0.005,2.608,0.0,85.7,1,658.45,-77.92,-58.63,0,2.0,9.43,0,0
2015-12-27,2016-03-25,2016-03-26,2016-04-01,MEDIANO,Trader no regulado,3,1,"ENDC,ISGC,PRIC",100.11,71.45,0.8756,0.989,1.0,100.0,0,0.0,71.59,71.78,0,3.0,0.0,0,0
2015-12-27,2016-03-25,2016-03-26,2016-04-01,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,1,"DLRC,HIMC,CTIC,EMPC",-268.41,-534.39,0.9303,1.435,0.0,0.0,1,3791.8,-481.75,-410.7,0,2.0,0.0,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,PEQUEÑO,Comercializador regulado,10,3,"ASCC,CETC,EBPC,EMEC,ETTC,EVSC,EGVC,EDPC,ENIC,EPTC",166.1,75.73,0.005,1.049,0.907,100.0,0,0.0,75.45,75.08,0,2.0,0.0,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,MEDIANO,Comercializador regulado,10,4,"EPSC,EEPC,EECC,EMSC,EBSC,HLAC,CHCC,CTSC,ESSC,CNSC",6.41,72.41,0.005,-25.587,1.0,100.0,0,0.0,70.96,69.01,0,3.0,2.32,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,GRANDE,Comercializador regulado,3,1,"EDCC,CDSC,EPMC",0.0,71.19,0.005,21.508,1.0,42.9,0,0.0,69.39,66.95,1,32.4,1.17,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,PEQUEÑO,Trader no regulado,10,6,"GECC,TRMC,RQEC,ITLC,CCOC,CMXC,CHVC,TPLC,GSAC,RPEC",-11.82,38.73,0.005,-1.813,0.996,0.0,0,0.0,36.48,33.44,0,2.0,7.25,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,MEDIANO,Trader no regulado,3,1,"ENDC,ISGC,PRIC",106.72,75.73,0.9055,1.049,0.984,100.0,0,0.0,75.45,75.08,0,3.0,0.0,0,0
2016-01-26,2016-04-24,2016-04-25,2016-05-01,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,1,"CTIC,DLRC,EMPC,HIMC",-267.12,56.34,0.9552,-0.13,0.974,14.3,0,0.0,46.55,33.34,0,2.0,0.0,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,MEDIANO,Comercializador regulado,10,1,"EPSC,EEPC,EECC,HLAC,EMSC,EBSC,CHCC,ESSC,CNSC,EDQC",1.98,76.05,0.005,1.703,1.0,100.0,0,0.0,73.79,70.75,0,2.9,2.87,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,GRANDE,Comercializador regulado,3,1,"CDSC,EDCC,EPMC",0.0,76.0,0.005,1.752,1.0,57.1,0,0.0,73.57,70.3,1,31.8,1.9,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,PEQUEÑO,Trader no regulado,10,5,"GECC,RQEC,TRMC,ITLC,CCOC,CMXC,CHVC,TPLC,RPEC,GSAC",-2.1,46.71,0.005,2.846,1.0,0.0,0,0.0,43.02,38.05,0,2.0,2.11,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,PEQUEÑO,Comercializador regulado,10,3,"EMEC,ASCC,CETC,EBPC,ETTC,EVSC,EGVC,EDPC,ENIC,EPTC",53.03,76.24,0.0398,1.042,1.0,57.1,0,0.0,75.72,75.01,0,2.0,0.0,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,MEDIANO,Trader no regulado,3,1,"ENDC,ISGC,PRIC",40.3,76.24,0.9005,1.042,1.0,57.1,0,0.0,75.72,75.01,0,2.9,0.0,0,0
2016-02-25,2016-05-24,2016-05-25,2016-05-31,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),4,1,"CTIC,DLRC,EMPC,HIMC",-141.03,73.83,0.9303,-0.579,1.0,42.9,0,0.0,62.18,46.46,0,2.0,0.0,0,0
2016-03-26,2016-06-23,2016-06-24,2016-06-30,PEQUEÑO,Trader no regulado,10,6,"GECC,TRMC,RQEC,ITLC,CCOC,CHVC,CMXC,TPLC,RPEC,GSAC",0.81,58.59,0.005,1.136,0.708,0.0,0,0.0,54.89,49.89,0,2.0,3.79,0,0
