estudio_ini,estudio_fin,impacto_ini,impacto_fin,segmento,arquetipo_ganador,n_arquetipos,n_efectivo,codigos_arquetipos,p_valor_bootstrap_arquetipo,ratio_replicacion,dsr,holdout_pct,pct_dias_gana_segmento,kill_switch_1_0,ev_historico_cop_kwh,supera_capacidad_1_0,mae_f1_promedio_pp,candidata_1_0,valida_cheap_1_0
2016-03-26,2016-06-23,2016-06-24,2016-06-30,MEDIANO,Trader no regulado,2,2,"Comercializador regulado,Trader no regulado,Trader no regulado,Trader no regulado,Trader no regulado",0.005,1.094,1.0,,85.7,0,81.31,0,,0,0
2016-03-26,2016-06-23,2016-06-24,2016-06-30,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado,Comercializador regulado",1.0,1.033,1.0,,85.7,0,73.97,1,,0,0
2016-04-25,2016-07-23,2016-07-24,2016-07-30,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.155,1.0,,100.0,0,82.6,0,,1,1
2016-04-25,2016-07-23,2016-07-24,2016-07-30,MEDIANO,Comercializador regulado,2,2,"Comercializador regulado,Trader no regulado",1.0,1.025,1.0,,100.0,0,77.68,0,,0,0
2016-04-25,2016-07-23,2016-07-24,2016-07-30,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.987,1.0,,85.7,0,72.35,1,,0,0
2016-05-25,2016-08-22,2016-08-23,2016-08-29,MEDIANO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.005,0.896,1.0,,100.0,0,68.95,0,,1,1
2016-05-25,2016-08-22,2016-08-23,2016-08-29,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,0.843,1.0,,100.0,0,62.99,0,,1,1
2016-05-25,2016-08-22,2016-08-23,2016-08-29,GRANDE,Comercializador regulado,1,1,"Comercializador regulado,Comercializador regulado",1.0,0.832,1.0,,85.7,0,61.18,1,,0,0
2016-06-24,2016-09-21,2016-09-22,2016-09-28,PEQUEÑO,Trader expuesto a bolsa (sin cobertura),3,3,"Comercializador regulado,Trader expuesto a bolsa (sin cobertura)",0.005,1.346,0.968,,85.7,0,98.5,0,,1,1
2016-06-24,2016-09-21,2016-09-22,2016-09-28,MEDIANO,Trader expuesto a bolsa (sin cobertura),3,3,"Trader expuesto a bolsa (sin cobertura),Trader no regulado",0.005,1.335,0.969,,85.7,0,97.58,0,,1,1
